"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.153140708E0,4.146826630E0,-4.761747894E0,7.200027466E-1,6.355219749E0
2.163180708E0,4.600682831E0,-7.861052856E0,2.989134064E0,9.586310916E0
2.173251708E0,4.495900726E0,-1.237207214E1,2.856509857E0,1.347000152E1
2.183321708E0,3.477119293E0,-1.654883652E1,1.697320404E0,1.699515358E1
2.193362708E0,-2.603086853E-1,-1.658835434E1,1.804347839E0,1.668822733E1
2.203433708E0,-4.830904083E0,-1.373798172E1,2.226619720E0,1.473185702E1
2.213503708E0,-7.505542145E0,-1.140149048E1,1.914518738E-1,1.365151280E1
2.223544708E0,-8.117918701E0,-9.883048096E0,-3.235821075E0,1.319264120E1
2.233614708E0,-7.331903229E0,-8.676557007E0,-4.360133057E0,1.216758837E1
2.243685708E0,-5.204227753E0,-7.457042999E0,-1.569486237E0,9.227933888E0
2.253726708E0,-2.376009064E0,-6.282435608E0,2.426304474E0,7.141524322E0
2.263796708E0,-5.640270996E-1,-6.166426849E0,4.462969208E0,7.632892034E0
2.273867708E0,6.230044556E-1,-6.622079315E0,4.775369568E0,8.188053708E0
2.283907708E0,1.457519073E0,-6.750811615E0,3.501219177E0,7.743148910E0
2.293978708E0,2.257605286E0,-7.095245361E0,1.559307404E0,7.607281245E0
2.304049708E0,2.952310638E0,-7.886949005E0,4.384382629E-1,8.432812747E0
2.314120708E0,3.322640533E0,-8.863667908E0,1.106049957E0,9.530367013E0
2.324160708E0,3.637585602E0,-9.974657593E0,3.016377411E0,1.103740711E1
2.334231708E0,4.100273438E0,-1.126153152E1,5.238207092E0,1.307949342E1
2.344302708E0,4.961732025E0,-1.279329620E1,6.948101349E0,1.538061523E1
2.354342708E0,6.442153473E0,-1.326316910E1,6.904392242E0,1.628138901E1
2.364413708E0,8.457412720E0,-1.221729401E1,5.229674835E0,1.575244748E1
2.374484708E0,8.941056976E0,-1.166179916E1,1.734592896E0,1.479692103E1
2.384524708E0,7.586074677E0,-1.109343109E1,-1.440454559E0,1.351619960E1
2.394595708E0,5.366939392E0,-1.017464172E1,-2.432890778E0,1.175781996E1
2.404665708E0,3.469036102E0,-9.920470276E0,-3.030597839E0,1.093775412E1
2.414706708E0,2.395318909E0,-1.007015900E1,-2.563569031E0,1.066384270E1
2.424777708E0,1.624571686E0,-1.031235535E1,-1.272952881E0,1.051685861E1
2.434847708E0,9.431886292E-1,-1.071352112E1,-4.552033997E-1,1.076458776E1
2.444888708E0,5.092410278E-1,-1.065723816E1,3.483256531E-1,1.067508231E1
2.454958708E0,7.415579224E-1,-9.988578644E0,3.119512939E-1,1.002092436E1
2.465029708E0,8.870553589E-1,-1.053838531E1,-2.016606445E0,1.076620331E1
2.475070708E0,9.027726746E-1,-1.242970230E1,-5.580245819E0,1.365472963E1
2.485140708E0,9.316625977E-1,-1.490764938E1,-9.139693909E0,1.751113960E1
2.495211708E0,8.997789001E-1,-1.610830261E1,-1.226145218E1,2.026401304E1
2.505282708E0,9.096583557E-1,-1.560684540E1,-1.393781616E1,2.094430283E1
2.515322708E0,8.801696777E-1,-1.348455872E1,-1.308698547E1,1.881162436E1
2.525393708E0,6.219566345E-1,-1.043524979E1,-1.058029816E1,1.487360001E1
2.535464708E0,-3.080593872E-1,-7.950417023E0,-8.177195435E0,1.140923120E1
2.545504708E0,-1.754351807E0,-6.656058655E0,-6.808441772E0,9.681722287E0
2.555575708E0,-3.211421814E0,-5.556145935E0,-6.164780273E0,8.898792252E0
2.565646708E0,-4.077371063E0,-4.374503174E0,-5.892346802E0,8.395295328E0
2.575686708E0,-4.079466705E0,-4.245471497E0,-5.776787109E0,8.248475382E0
2.585757708E0,-2.615361328E0,-5.141807556E0,-4.534969482E0,7.337863996E0
2.595828708E0,-1.898052979E-1,-6.863078156E0,-1.694176941E0,7.071640780E0
2.605868708E0,2.215991821E0,-9.891131287E0,1.698068848E0,1.027757441E1
2.615939708E0,3.881278839E0,-1.387225250E1,4.893923035E0,1.521361882E1
2.626009708E0,4.659660187E0,-1.750055740E1,8.096213837E0,1.983760623E1
2.636050708E0,5.498815155E0,-1.863265320E1,9.655670929E0,2.169434752E1
2.646121708E0,6.503376160E0,-1.683369415E1,8.280181274E0,1.985518981E1
2.656191708E0,7.319778442E0,-1.605785751E1,5.113067322E0,1.837327956E1
2.666262708E0,7.461533661E0,-1.594933319E1,2.302511902E0,1.775830158E1
2.676302708E0,6.358477478E0,-1.594918350E1,2.848576355E-1,1.717229845E1
2.686373708E0,3.483705597E0,-1.770308624E1,-5.420228577E-1,1.805074115E1
2.696444708E0,4.505630493E-2,-2.094040421E1,-6.242019653E-1,2.094975385E1
2.706484708E0,-2.516417084E0,-2.416694458E1,-1.353036346E0,2.433524754E1
2.716555708E0,-4.213138733E0,-2.609643219E1,-2.249671783E0,2.652989510E1
2.726647458E0,-5.089865570E0,-2.580708389E1,-3.799848175E0,2.657726767E1
2.736687458E0,-5.106630707E0,-2.452006027E1,-5.247787170E0,2.559004305E1
2.746758458E0,-2.966082001E0,-2.251468048E1,-4.480931854E0,2.314707821E1
2.756829458E0,1.199006653E-1,-2.010469208E1,-2.823728027E0,2.030237572E1
2.766869458E0,2.029928741E0,-1.775682449E1,-2.229314117E0,1.801097633E1
2.776940458E0,3.683689728E0,-1.559801376E1,-8.999285889E-1,1.605233549E1
2.787011458E0,5.228028259E0,-1.412762146E1,7.461982727E-1,1.508239966E1
2.797051458E0,6.024671631E0,-1.281679733E1,1.954186249E0,1.429635639E1
2.807122458E0,6.100563812E0,-1.137978561E1,3.017425232E0,1.325976072E1
2.817193458E0,6.012397156E0,-9.661359100E0,3.322490845E0,1.185452338E1
2.827263458E0,5.314698029E0,-7.415579224E0,3.016078033E0,9.609035178E0
2.837304458E0,3.761527863E0,-5.282814331E0,3.221600647E0,7.241265763E0
2.847374458E0,1.816772003E0,-3.774999847E0,3.166814575E0,5.251666299E0
2.857445458E0,-3.053649902E-1,-2.471959534E0,1.956431580E0,3.167247423E0
2.867486458E0,-2.311044159E0,-1.041534119E0,4.468208313E-1,2.573978881E0
2.877556458E0,-3.801644440E0,1.246158600E0,-1.292262726E0,4.204206781E0
2.887627458E0,-4.843178558E0,3.957320709E0,-3.197201385E0,7.024162757E0
2.897667458E0,-5.644611969E0,6.481371918E0,-4.514911194E0,9.708462767E0
2.907738458E0,-5.996380463E0,8.145311737E0,-4.081262970E0,1.090685057E1
2.917809458E0,-4.768334198E0,8.017627258E0,-1.436712341E0,9.438405598E0
2.927849458E0,-1.826501770E0,6.320306854E0,9.870474243E-1,6.652567179E0
2.937920458E0,9.431886292E-1,4.471950531E0,1.515149231E0,4.814937542E0
2.947991458E0,3.121159515E0,2.596799927E0,1.622326355E0,4.372293378E0
2.958031458E0,4.635410614E0,6.541397095E-1,1.512005768E0,4.919460515E0
2.968102458E0,5.422623596E0,-1.764380951E0,1.103954315E0,5.808321783E0
2.978173458E0,5.675298157E0,-4.556824036E0,-6.457571411E-1,7.306891045E0
2.988244458E0,5.623954926E0,-7.197482758E0,-4.467010803E0,1.016793059E1
2.998284458E0,5.167853394E0,-8.593330078E0,-9.564510498E0,1.385755720E1
3.008355458E0,4.473597107E0,-7.881260834E0,-1.487217316E1,1.741576521E1
3.018425458E0,3.500620422E0,-5.385650482E0,-1.549562668E1,1.677420700E1
3.028466458E0,1.279389496E0,-1.872456207E0,-6.869065704E0,7.233739930E0
3.038537458E0,-2.471510468E0,2.176773376E0,4.979095917E0,5.969765697E0
3.048607458E0,-7.050338745E0,5.315147095E0,1.126452530E1,1.431249787E1
3.058648458E0,-9.479487305E0,1.397942963E0,9.468709717E0,1.347113164E1
3.068718458E0,-6.408174133E0,-1.373169479E1,4.627327423E0,1.584412499E1
3.078789458E0,-2.127675476E0,-3.361948792E1,-1.589604401E1,3.724890852E1
3.088830458E0,-1.622326355E0,-4.941673737E1,-2.187655746E1,5.406689968E1
3.098900458E0,-3.003055115E0,-3.828977600E1,6.568041687E0,3.896491316E1
3.108971458E0,-3.663930817E0,-1.993614258E1,1.262534546E1,2.388040029E1
3.119011458E0,-2.308798828E0,-6.645879822E0,8.056396637E0,1.069597108E1
3.129082458E0,-2.038460999E0,4.341272278E0,5.573210449E0,7.352730305E0
3.139153458E0,-2.411335602E0,1.024080414E1,4.771627350E0,1.155236064E1
3.149193458E0,-2.259551239E0,1.084973785E1,4.565955048E0,1.198625583E1
3.159264458E0,-6.735992432E-1,5.903872833E0,3.157084808E0,6.728791486E0
3.169335458E0,9.548643494E-1,-3.511547699E0,3.107986908E0,4.785636404E0
3.179406458E0,2.126627655E0,-1.048584457E1,3.413950653E0,1.123078540E1
3.189446458E0,3.039579163E0,-1.671334442E1,4.951403503E0,1.769438668E1
3.199517458E0,4.359234924E0,-2.416754333E1,7.860005035E0,2.578473888E1
3.209588458E0,6.790479126E0,-3.080429214E1,1.028151947E1,3.317717082E1
3.219628458E0,1.022957748E1,-3.481355484E1,8.542286224E0,3.727731898E1
3.229699458E0,1.452549408E1,-3.594954254E1,3.307521973E0,3.891399862E1
3.239769458E0,1.687425980E1,-3.173086533E1,-9.912387085E-1,3.595234363E1
3.249810458E0,1.480990265E1,-2.443024704E1,-2.255809021E0,2.865761437E1
3.259881458E0,1.061457687E1,-1.960458206E1,-4.112996979E0,2.266992775E1
